ts,instrument,expiry,spot,atm,pcr,ce_oi,pe_oi,strikes,spot_hma,anchor_ce_h,anchor_ce_ltp,anchor_pe_h,anchor_pe_ltp,source
2026-09-01T14:05:34+05:30,SENSEX,2026-09-03,76743.4,76700,0.9355,11785240,11025660,50,76957.6,720.0,324.55,255.0,247.8,public-candle-OI
2026-09-01T14:24:08+05:30,SENSEX,2026-09-03,76666.47,76700,0.808,12924840,10443500,50,76818.02,720.0,299.35,302.5,294.8,public-candle-OI
2026-09-01T14:42:40+05:30,SENSEX,2026-09-03,76693.5,76700,0.7939,13156740,10445240,50,76709.79,720.0,320.35,302.5,266.0,public-candle-OI
2026-09-01T15:01:06+05:30,SENSEX,2026-09-03,76751.75,76800,0.6802,14598060,9929560,50,76658.36,644.0,280.3,357.0,294.05,public-candle-OI
2026-09-01T15:19:43+05:30,SENSEX,2026-09-03,76725.18,76700,0.8181,12542000,10260480,50,76626.26,720.0,322.85,302.5,244.1,public-candle-OI
2026-09-01T15:38:24+05:30,SENSEX,2026-09-03,76944.28,76900,0.6279,14960840,9394620,50,76627.81,568.35,201.95,416.15,370.2,public-candle-OI
2026-09-02T13:22:37+05:30,SENSEX,2026-09-03,76440.59,76400,0.9652,34240620,33047540,50,76369.1,355.0,304.25,359.35,191.15,public-candle-OI
2026-09-02T13:40:56+05:30,SENSEX,2026-09-03,76419.79,76400,1.0171,33665020,34240460,50,76406.74,355.0,281.55,359.35,206.0,public-candle-OI
2026-09-02T13:59:08+05:30,SENSEX,2026-09-03,76429.12,76400,1.0577,33339700,35263660,50,76440.14,355.0,283.45,359.35,196.0,public-candle-OI
2026-09-02T14:17:11+05:30,SENSEX,2026-09-03,76493.83,76500,1.0501,33798280,35491200,50,76473.44,299.85,256.1,421.0,213.7,public-candle-OI
2026-09-02T14:35:21+05:30,SENSEX,2026-09-03,76525.6,76500,1.0487,32523940,34109000,50,76493.88,299.85,275.45,421.0,193.1,public-candle-OI
2026-09-02T14:53:34+05:30,SENSEX,2026-09-03,76492.73,76500,1.0863,31505220,34225560,50,76515.1,299.85,234.0,421.0,225.9,public-candle-OI
2026-09-02T15:11:42+05:30,SENSEX,2026-09-03,76379.58,76400,1.0352,30821880,31908220,50,76506.26,366.15,290.3,359.35,171.7,public-candle-OI
2026-09-02T15:29:54+05:30,SENSEX,2026-09-03,76570.35,76600,0.8862,27818280,24652420,50,76492.15,245.95,171.4,488.0,250.7,public-candle-OI
2026-09-02T15:48:36+05:30,SENSEX,2026-09-03,76570.35,76600,0.8113,25152540,20405620,50,76492.15,245.95,153.15,488.0,266.1,public-candle-OI
2026-09-03T13:30:53+05:30,SENSEX,2026-09-03,76609.25,76600,0.8021,74033560,59385260,50,76600.6,368.9,148.25,204.0,107.0,public-candle-OI
2026-09-03T13:50:14+05:30,SENSEX,2026-09-03,76574.01,76600,0.7596,77158820,58613300,50,76590.13,368.9,128.8,204.0,106.75,public-candle-OI
2026-09-03T14:09:24+05:30,SENSEX,2026-09-03,76580.68,76600,0.7574,78463860,59425440,50,76583.49,368.9,136.2,204.0,93.5,public-candle-OI
2026-09-03T14:28:41+05:30,SENSEX,2026-09-03,76600.54,76600,0.7865,76170700,59905260,50,76584.87,368.9,143.85,204.0,82.4,public-candle-OI
2026-09-03T14:48:07+05:30,SENSEX,2026-09-03,76566.13,76600,0.793,71839700,56970360,50,76592.72,368.9,130.1,204.0,115.2,public-candle-OI
2026-09-03T15:07:31+05:30,SENSEX,2026-09-03,76493.19,76500,0.8505,64779340,55092580,50,76581.2,455.0,136.55,200.0,91.65,public-candle-OI
2026-09-03T15:27:23+05:30,SENSEX,2026-09-03,76554.2,76600,0.6736,52495320,35362420,50,76558.31,368.9,3.85,398.7,345.25,public-candle-OI
2026-09-03T15:46:47+05:30,SENSEX,2026-09-03,76152.86,76200,0.7287,40825120,29749520,50,76546.81,732.0,0.05,120.0,47.2,public-candle-OI
2026-09-04T13:27:06+05:30,SENSEX,2026-09-10,76698.87,76700,1.3278,6242240,8288380,50,76709.68,584.0,481.4,506.45,361.25,public-candle-OI
2026-09-04T13:45:39+05:30,SENSEX,2026-09-10,76694.0,76700,1.2999,6331940,8231160,50,76687.08,584.0,469.95,506.45,367.05,public-candle-OI
2026-09-04T14:03:42+05:30,SENSEX,2026-09-10,76670.62,76700,1.3018,6314400,8220280,50,76669.59,584.0,471.7,506.45,369.9,public-candle-OI
2026-09-04T14:21:46+05:30,SENSEX,2026-09-10,76694.81,76700,1.3431,6137300,8243240,50,76665.92,584.0,481.65,506.45,358.15,public-candle-OI
2026-09-07T13:44:00+05:30,SENSEX,2026-09-10,76046.13,76000,0.7817,11423960,8930540,50,76005.19,780.0,518.5,283.95,245.15,public-candle-OI
2026-09-07T14:02:36+05:30,SENSEX,2026-09-10,76117.99,76100,0.7726,11420980,8824060,50,76020.11,828.0,488.75,326.75,245.45,public-candle-OI
2026-09-07T14:20:53+05:30,SENSEX,2026-09-10,76082.49,76100,0.8079,11192340,9042480,50,76038.15,828.0,466.95,326.75,260.75,public-candle-OI
2026-09-07T14:39:07+05:30,SENSEX,2026-09-10,76089.0,76100,0.8341,10761900,8976420,50,76065.49,828.0,460.5,326.75,262.0,public-candle-OI
2026-09-07T14:57:20+05:30,SENSEX,2026-09-10,76012.11,76000,0.8458,10363140,8764760,50,76070.49,780.0,508.3,283.95,241.05,public-candle-OI
2026-09-07T15:15:32+05:30,SENSEX,2026-09-10,76042.19,76000,0.8682,9641940,8370960,50,76057.55,780.0,521.15,283.95,229.1,public-candle-OI
2026-09-07T15:33:59+05:30,SENSEX,2026-09-10,76132.81,76100,0.7557,9174200,6932720,50,76052.67,828.0,404.75,326.75,281.4,public-candle-OI
